2020-03-02 11:53:28 - google_map - Either the url is invalid or curl / fopen is not enabled
2020-03-02 11:55:04 - PHP Notice:  Undefined variable: help_cart_weight in D:\xampp\htdocs\boilerplate2302_v2\admin\view\template\setting\setting.tpl on line 880
2020-03-02 11:57:29 - PHP Notice:  A non well formed numeric value encountered in D:\xampp\htdocs\boilerplate2302_v2\system\library\template\Twig\Environment.php(403) : eval()'d code on line 119
2020-03-02 11:57:29 - PHP Notice:  A non well formed numeric value encountered in D:\xampp\htdocs\boilerplate2302_v2\system\library\template\Twig\Environment.php(403) : eval()'d code on line 123
2020-03-02 11:57:29 - PHP Notice:  A non well formed numeric value encountered in D:\xampp\htdocs\boilerplate2302_v2\system\library\template\Twig\Environment.php(403) : eval()'d code on line 127
2020-03-02 11:57:29 - PHP Notice:  A non well formed numeric value encountered in D:\xampp\htdocs\boilerplate2302_v2\system\library\template\Twig\Environment.php(403) : eval()'d code on line 131
2020-03-03 11:35:31 - PHP Notice:  Undefined variable: text_loading in D:\xampp\htdocs\boilerplate2302_v2\admin\view\template\catalog\category_list.tpl on line 7
2020-03-03 11:35:43 - PHP Notice:  Undefined variable: text_loading in D:\xampp\htdocs\boilerplate2302_v2\admin\view\template\catalog\category_list.tpl on line 7
2020-03-03 11:35:51 - PHP Notice:  Undefined variable: text_loading in D:\xampp\htdocs\boilerplate2302_v2\admin\view\template\catalog\category_list.tpl on line 7
2020-03-03 11:35:55 - PHP Notice:  Undefined variable: text_loading in D:\xampp\htdocs\boilerplate2302_v2\admin\view\template\catalog\category_list.tpl on line 7
2020-03-03 11:37:12 - PHP Notice:  A non well formed numeric value encountered in D:\xampp\htdocs\boilerplate2302_v2\system\library\template\Twig\Environment.php(403) : eval()'d code on line 119
2020-03-03 11:37:12 - PHP Notice:  A non well formed numeric value encountered in D:\xampp\htdocs\boilerplate2302_v2\system\library\template\Twig\Environment.php(403) : eval()'d code on line 123
2020-03-03 11:37:12 - PHP Notice:  A non well formed numeric value encountered in D:\xampp\htdocs\boilerplate2302_v2\system\library\template\Twig\Environment.php(403) : eval()'d code on line 127
2020-03-03 11:37:12 - PHP Notice:  A non well formed numeric value encountered in D:\xampp\htdocs\boilerplate2302_v2\system\library\template\Twig\Environment.php(403) : eval()'d code on line 131
2020-03-03 11:38:12 - PHP Notice:  A non well formed numeric value encountered in D:\xampp\htdocs\boilerplate2302_v2\system\library\template\Twig\Environment.php(403) : eval()'d code on line 119
2020-03-03 11:38:12 - PHP Notice:  A non well formed numeric value encountered in D:\xampp\htdocs\boilerplate2302_v2\system\library\template\Twig\Environment.php(403) : eval()'d code on line 123
2020-03-03 11:38:12 - PHP Notice:  A non well formed numeric value encountered in D:\xampp\htdocs\boilerplate2302_v2\system\library\template\Twig\Environment.php(403) : eval()'d code on line 127
